name,size,values,imports
node.0.GregBarila,325.0,,"['node.3.DanielleGuss', 'node.3.MedianetEditor', 'node.3.michaelbodey', 'node.3.WLudbey', 'node.1.cathryn_mac', 'node.3.amydale_tweets', 'node.0.shannonomeara', 'node.1.whatlouthinks', 'node.3.dawkins_scott', 'node.1.andrew_hough', 'node.3.Magda_Griffiths', 'node.1.TheRealRocky123', 'node.0.darrendavidson', 'node.1.RhiannonHoyle', 'node.3.jg_rat', 'node.3.antonrosetweet', 'node.2.zoe_powell_', 'node.1.belinda_palmada', 'node.1.ToscaPawela', 'node.3.purcellpw', 'node.3.prwireau', 'node.3.lanai_scarr', 'node.3.BrettMasonNews', 'node.3.latkinson09', 'node.1.lauren_mcmah', 'node.1.JakeMcCallum_', 'node.3.ashpillhofer', 'node.3.aujournos', 'node.3.mitchneems', 'node.3.BelindaWillis', 'node.3.Rencastello', 'node.3.mirandaleigh90', 'node.1.M_Spas_', 'node.0.ValeriaGigli', 'node.3.alicepohlner', 'node.3.paulstarick', 'node.0.steperow', 'node.3.sarah_daffy', 'node.0.SimonThomsen', 'node.3.annachisholm', 'node.3.JACKTWARD_', 'node.1.greggiangrande', 'node.3.murphymiranda', 'node.3.JacksonStiles', 'node.3.RashellHa', 'node.3.RosieKingJourno', 'node.3.NassimKhadem', 'node.3.CelesteVillani', 'node.3.Mel_Matheson', 'node.3.TrueLifeOfBrian', 'node.3.WillCrouch9', 'node.0.emmiedowling', 'node.1.samanthamaiden', 'node.3.AndreGrimaux', 'node.2.ElissaDoherty', 'node.0.rhiannonelston', 'node.3.AnthDeCeglie', 'node.3.rhiandeutrom', 'node.3.vanessaleemarsh', 'node.1.shoba_rao', 'node.1.TwistedKristy', 'node.3.TheRealJessLeo', 'node.3.D_JervisBardy', 'node.0.torny_miller', 'node.3.rlangjournalist', 'node.2.benwhitelaw', 'node.1.natbane', 'node.1.EvangelinePoly', 'node.0.benscadden', 'node.1.almarlatour', 'node.1.karajung', 'node.1.danfogarty80', 'node.3.Paola_picc', 'node.0.SydneyEditor', 'node.3.LydiaKellner', 'node.3.livcaisley', 'node.3.msmarto', 'node.3.elizabethredman', 'node.3.lewiss50', 'node.1.akoubaridis', 'node.0.RedmanMediaAU', 'node.3.gabbystern', 'node.3._SarahMcPhee', 'node.1.rob_sutherland3', 'node.1.SarahSpencer', 'node.3.KathSully', 'node.3.davidhurleyHS', 'node.3.remystern', 'node.3.dixie_sulda', 'node.0.RushPathak', 'node.2.estherswchan', 'node.3.MayneReport', 'node.0.TiffanyLaBanca', 'node.1.shellerose', 'node.3.KylieMerritt', 'node.0.anthony_dodd1', 'node.3.AlanaMitchelson', 'node.1.nick_wade', 'node.0.katie_spain', 'node.3.JournoLawJ', 'node.3.ChristianTatman', 'node.3.EmmaJWardill', 'node.3.reggiephoto', 'node.3.tauerbach', 'node.1.TriciaWatkinson', 'node.0.dilberry', 'node.3.Dean_Nye', 'node.3.mattsmithson', 'node.3.BecBrownComms', 'node.3.patkeam', 'node.1.MelanieBurgess', 'node.3.NicBerko', 'node.3.SeanMarsico', 'node.3.davemeddows', 'node.3.DiRollePR', 'node.2.DavidClinchNews', 'node.3.LukeDennehy', 'node.3.timburrowes', 'node.3.carlazanoni', 'node.3.JournLaw', 'node.0.CameronEngland', 'node.0.markjmusgrave', 'node.0.DerekPedley', 'node.3.adaromas', 'node.3.nicchristensen', 'node.1.publicdefender', 'node.1.EleniPaneras', 'node.3.workmanalice', 'node.3.julestullberg', 'node.3.ThomasDougherty', 'node.1.suzandelibasic', 'node.3.katie_robertson', 'node.3.CamReddin', 'node.1.lauraplacella', 'node.1.TomChamberlin', 'node.3.media_brittany', 'node.3.AusPolStats', 'node.3.cvbyllaardt', 'node.0.Sandra_DSouza', 'node.3.JyeMurray', 'node.3.DaniLeMessurier', 'node.3.Boel84', 'node.3.MichaelRoddan', 'node.1.RaeWilson78', 'node.3.annikasmethurst', 'node.3.kirstenaiken', 'node.3.edwina_b', 'node.1.GRogow', 'node.1.lottiewillis', 'node.0.ilikedata', 'node.3.Nic_Coxy', 'node.0.earleyedition', 'node.1.tminear', 'node.0.rodsav', 'node.3.Kellbpics', 'node.3.fergusonjw', 'node.3.timaddington', 'node.3.australia2', 'node.3.kristoforlawson', 'node.1.Megan_Palin', 'node.3.OscarBColeman', 'node.3.cathwebber', 'node.3.AliceHeraldSun', 'node.3.norabarak', 'node.3.ViscountBrooky', 'node.3.joelgibson', 'node.0.ChrisPavPhotog', 'node.3.MelStevens', 'node.3.mhammond7', 'node.1.DaveyCampbell85', 'node.3.cpyne', 'node.3.KaitlynOffer', 'node.3.RenataGortan', 'node.3.jase__1', 'node.3.BowlerDerek', 'node.1.neilwrites', 'node.3.DowJones', 'node.0.chelseajclark', 'node.3.JacquiLambie', 'node.3.SelinaSteele', 'node.3.dunlop_craig', 'node.3.TiserJo', 'node.3.RyanNorthover', 'node.3.Peter_F_Ryan', 'node.3.ameliaharris1', 'node.0.Ro_Smith', 'node.1.annelisenews', 'node.1.NicholasGray', 'node.0.questionswork', 'node.3.TomRichardson', 'node.1.LillSaleh', 'node.1.brighetteryan']"
node.0.rwebber,37.0,,"['node.0.paulcheesbrough', 'node.1.r2000c', 'node.0.steperow', 'node.1.PatrickDelany', 'node.3.RichLightShed', 'node.1.miriamgottfried', 'node.0.MrTimmins', 'node.3.JasonHirschhorn', 'node.3.brianstelter', 'node.0.libawr', 'node.1.GlennHall', 'node.3.felixsalmon', 'node.3.DaisyDunlop', 'node.3.claireatki', 'node.3.EvelynRusli', 'node.0.Clayman', 'node.0.roybahat']"
node.0.steveclancy,0.0,,
node.0.sublimino,7.0,,"['node.0.rogeriopvl', 'node.0.justincormack', 'node.0.rudids', 'node.3.arturmartins']"
node.0.alangkarapatan,4.0,,"['node.3.geoffreyfowler', 'node.0.MarkNiuWrite']"
node.0.irlgaming,3.0,,"['node.3.bronwen', 'node.0.Beta_Boy']"
node.0.simoen,5.0,,['node.0.fiona_west']
node.0.nadiazonis,6.0,,['node.2.DavidClinchNews']
node.0.hughskr,4.0,,
node.0.Jessicakpark,0.0,,
node.0.rajivpant,143.0,,"['node.0.prajwalsp', 'node.1.newley', 'node.1.keithbcollins', 'node.3.remystern', 'node.1.richardnaz', 'node.3.jarrardcole', 'node.0.naganaga', 'node.3.sheilawsj', 'node.3.tonyjbyrne', 'node.0.losowsky', 'node.1.katerinareports', 'node.3.lightningdb', 'node.1.wallernikki', 'node.2.lheron', 'node.2.GFuchsberg', 'node.3.sarafischer', 'node.2.pgeitner2', 'node.0.paulcheesbrough', 'node.3.MegJamesLAT', 'node.1.WSJBeckey', 'node.2.shellyscheng', 'node.1.grainnemcc', 'node.1.demetria_g', 'node.3.tomdfonzo', 'node.1.GRogow', 'node.0.mattj_mckenzie', 'node.2.alex_siegman', 'node.3.WomenAtDJ', 'node.1.AmyDMarcus', 'node.0.erniesander', 'node.1.JoeWSJ', 'node.3.bonniebbj', 'node.0.marcfrons', 'node.1.chriswhite001', 'node.0.martinamartina', 'node.3.alanhhunter', 'node.2.chaughney', 'node.1.cglancey', 'node.1.Chris_Covello', 'node.2.himeshp', 'node.3.yJimJia', 'node.1.jenniferhicks', 'node.3.CorySchouten', 'node.1.philizzo', 'node.3.JasonHirschhorn', 'node.3.susan_copperman', 'node.1.frnkflp', 'node.3.geoffreyfowler', 'node.3.Storyful', 'node.1.c_scott75', 'node.1.BrianHershberg', 'node.1.g_nishiyama', 'node.3.nancyhannigan', 'node.1.r2000c', 'node.3.chrisduncania', 'node.1.natashakhanhk', 'node.1.patrickhedlund', 'node.2.DavidClinchNews', 'node.1.delaney', 'node.3.edwardroussel', 'node.1.KatyStech', 'node.1.paris_katie', 'node.3.carlazanoni', 'node.1.WSJatLarge', 'node.3.edkap', 'node.3.raminbeheshti1', 'node.2.grawlixprolix', 'node.3.adaromas', 'node.2.feliciasonmez', 'node.3.everyplace']"
node.0.acohen365,0.0,,
node.0.ChelleMason,7.0,,['node.3.timburrowes']
node.0.rodpeno,52.0,,"['node.0.mediascope_', 'node.3.steven_noble', 'node.3.AusPolStats', 'node.3.JyeMurray', 'node.0.finn_bradshaw', 'node.1.shellerose', 'node.0.terric68', 'node.1.patricklion', 'node.0.gekka01', 'node.3.megandmiller1', 'node.3.jg_rat', 'node.1.shoba_rao', 'node.0.earleyedition', 'node.0.rodsav', 'node.3.kristoforlawson', 'node.0.saline', 'node.3.benkimber', 'node.0.Andrew303', 'node.0.eirikwfossan', 'node.3.eunmac', 'node.3.bronwen', 'node.3.milkbarmedia', 'node.3.ScotTheLot', 'node.0.StephenFenech', 'node.3.aujournos', 'node.3.boudist', 'node.3.eskimo_sparky', 'node.0.mississa', 'node.0.DaddyMac', 'node.3.chrisqu', 'node.0.SimonThomsen', 'node.3.LukeDennehy', 'node.3.timburrowes', 'node.3.foraggio', 'node.0.hughjm', 'node.3.kilomikemedia', 'node.3.angusf']"
node.0.gamble_elaine,1.0,,
node.0.therewasaguy,0.0,,
node.0.arensberg,0.0,,
node.0.mayanurali,3.0,,['node.3.RyanNorthover']
node.0.jasonealey,10.0,,"['node.0.rhiannonelston', 'node.0.Ben_Shute', 'node.0.ianwilkins', 'node.0.jacqui_owens', 'node.3.NDMPressOffice', 'node.0.IABAustralia', 'node.0.therealmaxsim']"
node.0.JimmyCollier,3.0,,
node.0.alexmcneilly,20.0,,"['node.3.milkbarmedia', 'node.1.BelindaNewton88', 'node.0.SydneyEditor', 'node.0.marcbennie', 'node.0.ReeceProudfoot']"
node.0.pmcaree,0.0,,
node.0.tvariadne,7.0,,"['node.3.mdm_z', 'node.0.eirikwfossan', 'node.3.foraggio']"
